1	XRP	2131	0.94895	2017-12-28
2	BTC	0.05021	15535	2017-10-28
3	XVG	7479	0.16142	2017-12-26
4	VTC	67.8	7.829	2017-12-26
5	TRX	99783	0.0353	2017-12-28
6	TRX	7531	0.1700	2018-01-07
7	XEM	1007	0.87103	2017-12-24
8	XLM	558	0.22	2017-12-19
9	PPT	13.9	37.611	2017-12-25
10	QSP	5550	0.16716	2017-12-25
11	ONION	200	3.2188	2017-12-26
12	ETN	8739.70	0.07714	2017-12-26
13	OMG	79.92	14.154	2017-12-26
